Parameter Code;Parameter;Date;Site Name;Sample Duration;Pollutant Standard;Method;Event Type;Observation Count;Observation Percent;Measurement Unit;Average;Daily Maximum;Hour of Maximum;AQI
81102;PM10 Total 0-10um STP;31/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);14;14;0;13
81102;PM10 Total 0-10um STP;25/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);17;17;0;16
81102;PM10 Total 0-10um STP;19/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);16;16;0;15
81102;PM10 Total 0-10um STP;16/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);17;17;0;16
81102;PM10 Total 0-10um STP;07/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);37;37;0;34
81102;PM10 Total 0-10um STP;01/12/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);24;24;0;22
81102;PM10 Total 0-10um STP;25/11/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);20;20;0;19
81102;PM10 Total 0-10um STP;19/11/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;13/11/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);15;15;0;14
81102;PM10 Total 0-10um STP;07/11/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;01/11/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);56;56;0;51
81102;PM10 Total 0-10um STP;26/10/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);18;18;0;17
81102;PM10 Total 0-10um STP;14/10/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;08/10/1990;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);31;31;0;29
